2020-04-09 09:13:43.077 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:13:43.077 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:13:56.420 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 09:14:02.514 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationNotFoundException.<init> - station 0 does not exist
2020-04-09 09:14:02.827 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 3 address 748 Townings Dr Can not be deleted
2020-04-09 09:14:02.905 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeModifyException.<init> - station 99 address 10 downing street Can not be modify
2020-04-09 09:14:03.202 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 99 address 100 Downing Str Can not be deleted
2020-04-09 09:14:03.452 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:14:34.608 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 09:14:38.530 WARN     [main]:com.safetynet.safetynetalerts.service.ApplicationStart.postConstruct - Application started
2020-04-09 09:14:39.764 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationNotFoundException.<init> - station 3 does not exist
2020-04-09 09:14:40.358 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeModifyException.<init> - station 10 address 748 Townings Dr Can not be modify
2020-04-09 09:14:40.561 WARN     [main]:com.safetynet.safetynetalerts.web.exceptions.FirestationCanNotBeDeletedException.<init> - station 3 address 10 Downing Str Can not be deleted
2020-04-09 09:14:40.639 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
2020-04-09 09:14:40.655 WARN     [SpringContextShutdownHook]:com.safetynet.safetynetalerts.service.ApplicationEnded.preDestroy - Application terminated
